,no,name,x_coor,y_coor,addr
5292,14176,용강초등학교,126.943588,37.54708406,서울 마포구 대흥동 200-1
5293,14177,동도중학교.서울디자인고등학교,126.9453809,37.54644864,서울 마포구 염리동 154-14
5294,14178,동도중학교.서울디자인고등학교,126.946081,37.545988,서울 마포구 염리동 160-68
5295,14179,공덕역2번출구,126.94935,37.5447333,서울 마포구 공덕동 237-9
5296,14180,공덕역1번출구,126.9494054,37.54455946,서울 마포구 공덕동 237-9
5297,14181,서서울농협홍대역점,126.9198886,37.55638588,서울 마포구 서교동 447-7
5298,14182,동교로사거리,126.920847,37.55577401,서울 마포구 동교동 155-6
5299,14184,성산동,126.9067737,37.56457978,서울 마포구 성산동 196
5300,14185,성산2교,126.9124937,37.56424921,서울 마포구 성산동 54-7
5301,14186,성산2교,126.913099,37.56380285,서울 마포구 성산동 103-14
5302,14187,성미약수터,126.9149812,37.56172612,서울 마포구 성산동 103-16
5303,14188,성미약수터,126.9140902,37.56247719,서울 마포구 성산동 산 11-58
5304,14189,경성중고.홍대부속여중고입구,126.9158236,37.56056123,서울 마포구 성산동 231-2
5305,14190,경성중고.홍대부속여중고입구,126.9166372,37.55966447,서울 마포구 성산동 232-5
5306,14191,경성중고.홍대부속여중고입구,126.9171476,37.55933354,서울 마포구 성산동 232-19
5307,14192,서울도시가스마포사옥,126.9191339,37.55722547,서울 마포구 서교동 445-7
5308,14193,서울도시가스마포사옥,126.9182383,37.55789924,서울 마포구 서교동 449-28
5309,14194,마포구청역,126.9026509,37.56275411,서울 마포구 성산동 350-8
5310,14195,마포구청역,126.9021292,37.56247189,서울 마포구 성산동 342-1
5311,14196,마포중앙도서관,126.9066704,37.56377972,서울 마포구 성산동 191-33
5312,14197,마포중앙도서관,126.9068704,37.5639956,서울 마포구 성산동 191-33
5313,14198,성산2교,126.9131661,37.56563969,서울 마포구 성산동 117-1
5314,14199,성산2교,126.91268,37.5656125,서울 마포구 성산동 99-6
5315,14200,광흥창역.서강동주민센터,126.9317632,37.54831086,서울 마포구 창전동 116
5316,14201,광흥창역.서강동주민센터,126.9315291,37.54810622,서울 마포구 창전동 116
5317,14202,창전현대홈타운,126.9325438,37.55068603,서울 마포구 창전동 15-1
5318,14203,창전현대홈타운,126.932408,37.55066842,서울 마포구 창전동 15-1
5319,14204,신촌로터리,126.9348658,37.55399466,서울 마포구 노고산동 31-123
5320,14205,신촌로터리,126.9355019,37.55423909,서울 마포구 노고산동 31-123
5321,14207,이화여대입구,126.9447772,37.55660436,서울 마포구 대흥동 12-8
5322,14208,이화여대입구,126.945794,37.55591683,서울 마포구 대흥동 3-63
